name,address,details,about,city,micromarket,img1,img2,price
Buzz by Spacetime at Saket,"Saket New, Delhi","Hot Desk - starting from
₹11,000
/Seat
Enquire | Dedicated Desk - starting from
₹13,500
/Seat
Enquire | Private Cabin - starting from
₹14,000
/Seat
Enquire","Buzz by Spacetime at Saket is a premium coworking space located at a very convenient place near public transport. The Space Offers Seating options like Hot Desks, Dedicated Desks, and Private Cabins with a Starting price of Rs-11000/ month. 
With All this, the amenities provided are top Notch. Amenities Provided include Car Parking, Air Conditioning, Power backup, High-Speed Internet, CCTV, Housekeeping, Tea/Coffee Machine & much more to make your day work comfortable.",Delhi,Saket,https://img.cofynd.com/images/original/379c616aa3795cf21ae76bb7d507dc82c43c9804.jpg,https://img.cofynd.com/images/original/4dc9375d75067640f96714a0dce2137867b788c3.jpg,13500.0
Spring House Janakpuri,"Janakpuri, Delhi","Dedicated Desk - starting from
₹8,000
/Seat
Enquire | Private Cabin - starting from
₹9,500
/Seat
Enquire | Virtual Office - ₹24,000/ Year
Enquire","We’ve all been rebel-kids wanting to choose games and play over work at times. But what if you’re told that you can get the best of both worlds under the same roof? Sounds too good to be true, right? – Not anymore! This shared coworking space in Janak Puri will have you screaming enthusiastically when we reveal how we’ve adorned this comfortable professional place with a gaming cafe and a roof-top cafeteria to ace the game with a full belly! The latest addition to the ...",Delhi,Janakpuri,https://img.cofynd.com/images/original/1453ac32a191dcf6a138c0d0f4ca11d9fc4eb57f.jpg,https://img.cofynd.com/images/original/d8e2053a55d756398f9c2e25a085677d76b9e92e.jpg,8000.0
Empowerers,"Saket, Delhi","Private Cabin - starting from
₹34,000
/Seat
Enquire | Office Space - starting from
₹250,000
/Seat
Enquire | Dedicated Desk - starting from
₹8,000
/Seat
Enquire","Our coworking space is a vibrant and innovative hub designed for productivity and collaboration. With modern, flexible workstations, state-of-the-art amenities, and a dynamic community, we provide an inspiring environment for professionals. Join us for a perfect balance of focus and connection in a shared workspace that supports your success. Our coworking space offers the ultimate flexibility in a prime location, just steps away from the metro station. With adaptable workspaces, high-speed i...",Delhi,Saket,https://img.cofynd.com/images/original/8e663df0f6a35b6023e3b2a18269c06d4b7c1ed2.jpg,https://img.cofynd.com/images/original/7d920c0794cab7bbfaaa908a8e18d0a475800436.jpg,8000.0
Ambition,"Malviya Nagar, Delhi","Dedicated Desk - starting from
₹5,999
/Seat
Enquire | Private Cabin - starting from
₹22,000
/Seat
Enquire | Virtual Office - ₹14,400/ Year
Enquire","Ambition has a dynamic work environment where individuals from diverse professional backgrounds share a communal space to work, collaborate, and innovate. These spaces offer a range of amenities designed to enhance productivity and convenience for their members. From high-speed wifi to well-equipped meeting rooms and kitchens, coworking spaces provide essential resources",Delhi,Malviya Nagar,https://img.cofynd.com/images/original/fac1a104a242b485c890663a6a51a190e6a5c14a.jpg,https://img.cofynd.com/images/original/95b11e24add9c139198b0ca4c02e5d1f5ce14c37.jpg,5999.0
Sanjay Chilly Experience Center,"Wazirpur, Delhi","Dedicated Desk - starting from
₹7,000
/Seat
Enquire","The space is exclusively designed for all working professionals with modern amenities such as pantry , parking , lift , cctv , toilets and ect . The workspace has many seating option . The workspace is 5 min walk from metro station . The workspace is clean and maintained .",Delhi,Wazirpur,https://img.cofynd.com/images/latest_images_2024/1b4d880d06b0d71ceeafcb6408dc69a27b948f45.webp,https://img.cofynd.com/images/latest_images_2024/4593118a55add3b03d93b0fb9eda3801f6cf637b.webp,7000.0
Innov8 Aerocity,"Aerocity, Delhi","Dedicated Desk - starting from
₹22,999
/Seat
Enquire | Private Cabin - starting from
₹24,999
/Seat
Enquire","Innov8 Coworking aerocity delhi is a dynamic co-working office space that goes beyond providing a desk and Wi-Fi. It strives to create an inspiring and collaborative environment where professionals can thrive, connect, and grow. By combining thoughtfully designed spaces, a vibrant community, state-of-the-art amenities, and a focus on innovation, innov8 Coworking sets itself apart as a leading choice for individuals and businesses seeking a modern and dynamic workspace.",Delhi,Aerocity,https://img.cofynd.com/images/original/94e76342b48898ca7af25ceca3d8a3ef6e452458.png,https://img.cofynd.com/images/original/be432687091e2ea389c7359cd0bb374eec42c93b.png,22999.0
Team CoWork Saidullahjab,"Saket New, Delhi","Hot Desk - starting from
₹5,000
/Seat
Enquire | Dedicated Desk - starting from
₹5,500
/Seat
Enquire | Private Cabin - starting from
₹6,000
/Seat
Enquire | Virtual Office - ₹18,000/ Year
Enquire","Team CoWork, Saket provides calm, inspiring, flexible shared workspaces for your start-up business with complimentary High-Speed Internet, Hot Beverages, Printer/Scanners and free usage of Meeting, Conference Rooms, Game Zones and more. This Centre is located near to Qutab Minar Metro Station and Malviya Nagar Metro Station.",Delhi,Saket,https://img.cofynd.com/images/original/82c85dabae9c63f488b56523f7f9bc1df73972ef.jpg,https://img.cofynd.com/images/original/c555cd1a77e6c2a4f169a7e46f6d1f092b81c763.jpg,5500.0
Work Exchange,"Netaji Subhash Place, Delhi","Private Cabin - starting from
₹66,000
/Seat
Enquire | Virtual Office - ₹30,000/ Year
Enquire | Hot Desk - starting from
₹10,000
/Seat
Enquire | Dedicated Desk - starting from
₹11,500
/Seat
Enquire","Work Exchange is a brand name that suggests a co working space designed for collaborative work and flexibility. This collaborative environment is fostered by a variety of workspace options, including private offices, hot desks & meeting rooms. The word ""exchange"" implies a place where people can come together to share ideas, skills & resources.",Delhi,Netaji Subhash Place,https://img.cofynd.com/images/original/8425813128dbf1dcac9ed5934d4b49a245728f0a.jpg,https://img.cofynd.com/images/original/881f57b389200a96b703010296b23418400a5aca.jpg,11500.0
Mework East of Kailash,"East Of Kailash New, Delhi","Hot Desk - starting from
₹4,999
/Seat
Enquire | Dedicated Desk - starting from
₹5,999
/Seat
Enquire | Private Cabin - starting from
₹7,999
/Seat
Enquire","MeWork is a modern and ready-to-use workspace located in Lower Ground in East of Kailash, New Delhi. This beautifully designed office space has fully-furnished hot desks, dedicated desks and private cabins. You will be provided with all the top-notch facilities such as superb housekeeping service, unlimited tea/coffee, chilling zone, fast-speed WiFi, printer, parking area, scanner, high-level security, 100% power backup air conditioner, medical facilities and much more. There are multiple off...",Delhi,East Of Kailash,https://img.cofynd.com/images/original/fa4f2ccf1c19f6d0ae7abe0dcf493b531665bbf0.jpg,https://img.cofynd.com/images/original/eff92ca8ecb8c2c06697a2ec93a2b0dca0461826.jpg,5999.0
T-Wrks,"Hargobind Enclave Karkardooma , Delhi","Hot Desk - starting from
₹6,000
/Seat
Enquire | Dedicated Desk - starting from
₹6,000
/Seat
Enquire | Private Cabin - starting from
₹12,000
/Seat
Enquire","The space is exclusively designed for all working professionals with modern amenities such as a cafeteria, ample parking etc. We Have 20-50 seating capacity and cabin area too. This workspace offers a wide range of seating option such as a day pass, open workstation. The space is 5 min away from the karkardooma metro station.",Delhi,Hargobind Enclave Karkardooma,https://img.cofynd.com/images/original/8e22ab54c60a08d5d3da22c22381ab09c1134140.jpg,https://img.cofynd.com/images/original/bea66b52d4bfad2dce6bc2304fb8684926175dad.jpg,6000.0
Rent Abode Lajpat Nagar,"Lajpat Nagar, Delhi","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Hot Desk - starting from
₹4,000
/Seat
Enquire | Private Cabin - starting from
₹7,000
/Seat
Enquire","Rent Abode Co Work Space is a modern coworking located in Lajpat Nagar, New Delhi. It is known for its beautiful interiors and chic furniture. This well-managed office space offers hot desks, dedicated desks, private cabins and manager cabins. It is ideal for freelancers, startups and SMEs. This attentively designed Cowork space has state of the art amenities such as Wi-Fi, car/bike parking space, beverages, pantry, CCTV, AC, printer, scanner, projector, event space, training room, meeting ro...",Delhi,Lajpat Nagar,https://img.cofynd.com/images/original/1d8538889ae04d10bd7af5dcf22459a6850b5b61.jpg,https://img.cofynd.com/images/original/75ab12464668f6b85026919f9ad82ce8d7b50ec3.jpg,7000.0
Cohesive Patel nagar,"Building P level 3, Delhi","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹20,000
/Seat
Enquire","Cohesive is a well-designed and fully-furnished workspace located in Patel Nagar, New Delhi. It has dedicated desks and private cabins with state of the art amenities such as paid parking, plug points, business grade WiFi, printer, power backup, housekeeping service, pantry, meeting rooms, washrooms and much more. This beautifully designed workspace is arranged in a cubicle style seating. The staff members take care of all the necessary precautions to be taken to avoid any type of infection. The...",Delhi,Building P Level 3,https://img.cofynd.com/images/original/d7b2871559455e06671e603b112fc1b7ac766f62.jpg,https://img.cofynd.com/images/original/d600d20cf3db0a3d6b899e673196c5a80bff6d01.jpg,7000.0
Light Room,"Hauz Khas, Delhi","Hot Desk - starting from
₹2,500
/Seat
Enquire","This space is for people who are bored of the usual office setup and need their personalized space overlooking the Hauz Khas Lake. You can come here, write, read, shoot, procrastinate, think, or do nothing. Come have your space your time amidst the serene space in HAUZ KHAS at the most nominal price.",Delhi,Hauz Khas,https://img.cofynd.com/images/latest_images_2024/80a630e1c8dc77f667fbf3652128a90c469fc3c3.webp,https://img.cofynd.com/images/latest_images_2024/8a0bcffef7eb96a18d4f2e97df81ddc1f7d20563.webp,2500.0
ABL Workspaces Mohan Cooperative,"Badarpur, Delhi","Dedicated Desk - starting from
₹5,000
/Seat
Enquire | Private Cabin - starting from
₹6,000
/Seat
Enquire | Virtual Office - ₹36,000/ Year
Enquire","Do you want to boost your business? You must head towards ABL Workspaces in Mohan Cooperative Industrial Estate, Badarpur. It provides dedicated desks and private cabins to help you conduct your business smoothly and efficiently. All the freelancers, small and medium scale businesses are most welcome to this well-designed workspace. You will be provided with unlimited benefits and facilities. The nearest metro station to this coworking centre is Badarpur Border Metro Station. This is the plac...",Delhi,Badarpur,https://img.cofynd.com/images/original/9a9b1186f57ca73595a253dc3c7c5382cd0a87de.jpg,https://img.cofynd.com/images/original/add2216778129b05160d781d7bfc0e44909afb1d.jpg,5000.0
AUM CO WORKING SPACES,"South Extension New, Delhi","Dedicated Desk - starting from
₹9,499
/Seat
Enquire | Private Cabin - starting from
₹14,899
/Seat
Enquire | Office Space - starting from
₹14,899
/Seat
Enquire","Located in the Heart of Delhi at the Most Prestigious Address of South Extension Market Part 1 , AUM Co Working is a Brand New Space Perfect for the Corporate world and Young Mind and Souls ! Metro connectivity to High Street Ambience and A Safe Environment makes it the Best in Delhi 🧿",Delhi,South Extension I,https://img.cofynd.com/images/latest_images_2024/18b3a68abeee20b5b5e64d2dde1bc4bd6c89a5cd.webp,https://img.cofynd.com/images/latest_images_2024/88e95d98674881f2e77a2c1179030b39503b660c.webp,9499.0
Saket Coworking,"Saket, Delhi","Hot Desk - starting from
₹3,999
/Seat
Enquire | Dedicated Desk - starting from
₹9,999
/Seat
Enquire","Saket Coworking"" provides fully furnished coworking office spaces for rent in Saket, Delhi. Their spaces are equipped with all the necessary amenities and are ready to use. It's a great option for individuals or teams looking for a convenient and professional workspace in the Saket area of Delhi.",Delhi,Saket,https://img.cofynd.com/images/original/63852057695af7ab6b444472c28f7847e04d89fb.jpg,https://img.cofynd.com/images/original/510aa0a2d8769ccced2ac55a85b668d953d658f0.jpg,9999.0
The Circle Work,"Jasola Vihar New, Delhi","Hot Desk - starting from
₹10,000
/Seat
Enquire | Dedicated Desk - starting from
₹17,000
/Seat
Enquire | Private Cabin - starting from
₹20,000
/Seat
Enquire","The Circle @ jasola is an amazing coworking space located in Omaxe Square, Mathura Road, Jasola Vihar, New Delhi. This workplace belongs to everyone, be it you are a freelancer, a working professional, a digital nomad, a startup, a small/medium enterprise, etc. from all walks of life. They are offering an extensive range of seating arrangements such as hot desks, dedicated desks, private cabins, manager cabins, and 6-8 & 12-15 seater meeting rooms available at affordable prices starting f...",Delhi,Jasola Vihar,https://img.cofynd.com/images/original/8a84f2a6179455699ce0bb98e187a87218f15d9c.jpg,https://img.cofynd.com/images/original/48532a8edf6919588e64fa4dc8343518d5d2ce76.jpg,17000.0
Incuspaze Connaught Place,"Barakhamba New, Delhi","Dedicated Desk - starting from
₹9,999
/Seat
Enquire | Private Cabin - starting from
₹10,999
/Seat
Enquire","Incuspaze Connaught Place is a premium coworking space located in the heart of the city. It is an initiative by Incuspaze and SIDBI to provide a modern coworking space packed with state of the art amenities - High-Speed Wifi, Tea, Coffee, Pantry, Printer, Collaborative Staff and Parking Space. The seating plan comprises Day Passes, Dedicated Desks, Private Cabins, Virtual Offices, Meeting and Conference Rooms for team or client meetups. Strategically located in Connaught Place, it gives you e...",Delhi,Barakhamba,https://img.cofynd.com/images/original/113a9e617ad4aeaffd3d5dee57fe98b66329305a.jpg,https://img.cofynd.com/images/original/cc558bf273a84f6bf82f40c78d7353206481c965.jpg,9999.0
TechBinge,"Dwarka, Delhi","Dedicated Desk - starting from
₹6,000
/Seat
Enquire | Private Cabin - starting from
₹10,000
/Seat
Enquire",TechBinge co-working space wishes to offer basic amenities with a friendly and comfortable environment for the working people. The goal is to provide a good staff-friendly environment with appropriate communication factors.,Delhi,Dwarka,https://img.cofynd.com/images/latest_images_2024/bd2899e073f71e14700c3f588cc05476caf07d78.webp,https://img.cofynd.com/images/latest_images_2024/8d9ae6587979cf2d31285e342588aff9e7756234.webp,6000.0
Co-working Hut,"Ramesh Nagar, Delhi","Hot Desk - starting from
₹4,999
/Seat
Enquire | Dedicated Desk - starting from
₹4,499
/Seat
Enquire | Private Cabin - starting from
₹14,999
/Seat
Enquire | Office Space - starting from
₹4,499
/Seat
Enquire","At Co-Working Hut, we are dedicated to fostering a community where creativity and entrepreneurial spirit can thrive. Our mission is to provide a flexible, affordable, and inspiring workspace that adapts to the diverse needs of our members. What We Offer: Flexible Workspaces: From hot desks to private offices, our versatile spaces can accommodate individuals and teams of all sizes. High-Speed Internet: Stay connected with our reliable, high-speed Wi-Fi. Meeting Rooms: Fully equipped meeting roo...",Delhi,Ramesh Nagar,https://img.cofynd.com/images/latest_images_2024/f8a7bd6c0ea00bc3054e8abd7e3c9f46b9079e4d.webp,https://img.cofynd.com/images/latest_images_2024/c08c2ee425b8c41397471bfd730fd51df60ce104.webp,4499.0
Work and Beyond,"Dwarka, Delhi","Private Cabin - starting from
₹5,500
/Seat
Enquire | Virtual Office - ₹16,000/ Year
Enquire","Welcome to Work and Beyond, where we provide a modern co-working space with everything you need. We're open every day from 9 AM to 8 PM and offer options for night shifts too. You can count on power backup to keep you going without interruptions. Whether you need a place for a day or longer, we have dedicated seats and private cabins available. Our conference hall can accommodate 10-12 people for meetings or presentations. Come experience a flexible and productive workspace at Work and Be...",Delhi,Dwarka,https://img.cofynd.com/images/latest_images_2024/842cce6d4f0a0942749e7677fc7af6ce4c2bedb6.webp,https://img.cofynd.com/images/latest_images_2024/555cc0527dfaae2df24c8810b980f21b3131116a.webp,16000.0
Collective By Quattro,"Connaught Place New, Delhi","Private Cabin - starting from
₹22,500
/Seat
Enquire | Office Space - starting from
₹22,500
/Seat
Enquire","Collective By Quattro offers an unparalleled premium co-working and managed office experience in the heart of New Delhi. Located in the bustling Connaught Place, this space combines modern design with state-of-the-art amenities to cater to entrepreneurs, freelancers, and corporate teams. Members enjoy high-speed internet, ergonomic workstations, fully-equipped meeting rooms, and a vibrant community of like-minded professionals. The prime location ensures easy access to public transportation, ...",Delhi,Connaught Place,https://img.cofynd.com/images/latest_images_2024/f419fcb450ce4ac8103b0fdafd44247ec7c845ef.webp,https://img.cofynd.com/images/latest_images_2024/d9d378212005f298a4aab43187f0276ececece2c.webp,22500.0
A1- Coworking,"Lajpat Nagar, Delhi","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹15,000
/Seat
Enquire | Office Space - starting from
₹15,000
/Seat
Enquire | Hot Desk - starting from
₹6,000
/Seat
Enquire","Premier Co-Working Space at Lajpat Nagar Welcome to our co-working space located in the heart of Lajpat Nagar walking distance from the metro station, designed to meet the diverse needs of modern professionals. This vibrant and dynamic workspace is perfect for freelancers, startups, and established businesses looking for a flexible and inspiring work environment.Fully furnished, secure offices suitable for individuals or small teams. Dedicated Desks: Personal desks in a shared area, providing...",Delhi,Lajpat Nagar,https://img.cofynd.com/images/latest_images_2024/06104dd252992a0f60c34b05dbc7b739e8708d67.webp,https://img.cofynd.com/images/latest_images_2024/ef414f4c1de21575a5367230ffd07854b363f1bd.webp,7000.0
Dwarka Sector 12A Coworking Space,"Dwarka New, Delhi","Hot Desk - starting from
₹7,500
/Seat
Enquire | Private Cabin - starting from
₹30,000
/Seat
Enquire | Office Space - starting from
₹150,000
/Seat
Enquire | Dedicated Desk - starting from
₹10,000
/Seat
Enquire",Modern Office Space with modern designs and all equipment such as fast LAN internet & WiFi along with CCTV & access control systems. Centralized AC & Heating system. Intercom Facility. Dry & Wet Pantry services. Tea/Coffee. VC Systems with Conference Room facility. Peaceful and close to metro Sec 12Dwarka,Delhi,Dwarka,https://img.cofynd.com/images/latest_images_2024/7ec2c6f04c0a46056872fb3d022155605763e433.webp,https://img.cofynd.com/images/latest_images_2024/283d5667e5faf572a3e801117a25081f93558b23.webp,10000.0
Digiperform,"Pitampura New, Delhi","Hot Desk - starting from
₹10,000
/Seat
Enquire | Dedicated Desk - starting from
₹11,500
/Seat
Enquire | Private Cabin - starting from
₹11,000
/Seat
Enquire","Welcome to our awesome co-working spot in Delhi's Kohat Enclave! It's where innovation meets community. Whether you're an entrepreneur, freelancer, or remote worker, our space is here to support you in your work journey. Come join us and see how we can make your work experience even better. We've got super-fast internet, free tea and coffee, meeting rooms, and even a special room for recording podcasts. So, why wait? Come on over and let's make work more fun and produ...",Delhi,Pitampura,https://img.cofynd.com/images/latest_images_2024/6e8c5e16b5ccdb1008ba7d403fbda0e5d792dbde.webp,https://img.cofynd.com/images/latest_images_2024/57fdf25da7fcc43f09862026bd34f2953a43ac3b.webp,11500.0
Linkup Coworking Space,"Rohini, Delhi","Dedicated Desk - starting from
₹4,000
/Seat
Enquire","Imagine a cozy spot on the ground floor where you can work. You'll have your own desk, a meeting room with cool LED lights, and even a designated area for smokers outside. Parking is easy to find. The chairs are really comfy, and there's free tea and coffee. And of course, the restroom is clean. Feel free to drop by for a free trial anytime!",Delhi,Rohini,https://img.cofynd.com/images/latest_images_2024/063eb5e13effe0d18fd3eae19c12b1051a8681f5.webp,https://img.cofynd.com/images/latest_images_2024/b20562b132ca4f6254d4edf883d4082a6d954891.webp,4000.0
Amans Dynasty,"Saket New, Delhi","Hot Desk - starting from
₹4,000
/Seat
Enquire | Dedicated Desk - starting from
₹4,500
/Seat
Enquire | Virtual Office - ₹10,000/ Year
Enquire","Strategically located in prime area of Lado Sarai, our office space in Delhi is made easily accessible to different parts of the city. Our collaborative common areas, conference rooms, and private offices are designed to foster creativity and productivity. With high-speed Wi-Fi and printing services, we help to keep you productive, IT support ensure your operations run smoothly. Get a seamless workspace experience that lets you focus on your business while we care for the rest. Explore our flexi...",Delhi,Saket,https://img.cofynd.com/images/latest_images_2024/954d298cacab39d689bf02619fe006353fa71251.webp,https://img.cofynd.com/images/latest_images_2024/e6a01097416fb4d55dcc37a2ce64e0ccb3ff2e62.webp,4500.0
ZO Space,"Saket, Delhi","Dedicated Desk - starting from
₹8,500
/Seat
Enquire | Private Cabin - starting from
₹36,000
/Seat
Enquire | Office Space - starting from
₹12,000
/Seat
Enquire | Board Room - starting from
₹10,000
/Seat
Enquire | Training Room - starting from
₹10,000
/Seat
Enquire","State of the art coworking and managed office spaces by ZO Space Located next to Saket Metro Station. We offer open seats, flexible seats, cabin spaces and conference room along with huge cafeteria accommodating 70 to 80 PAX at a time. Ample parking, Lift, Powe back up is available throughout the day.",Delhi,Saket,https://img.cofynd.com/images/latest_images_2024/dae96b69fac6fad3e796c0c7d205ee923c65a5f0.webp,https://img.cofynd.com/images/latest_images_2024/878c5a72b21db6eb6b289fb821f82f15647c66bc.webp,8500.0
"CorporatEdge, HT House","Connaught Place, Delhi","Board Room - starting from
₹3,500
/Seat
Enquire | Private Cabin - starting from
₹45,000
/Seat
Enquire","""CE HT House Connaught Place is one of our finest Business Centre which serves as our flagship location, be it the most sought-after address or the finest A+ grade building with an excellent arrival experience. It’s well connected commercial office space tower at Kasturba Gandhi Marg in Connaught Place, New Delhi. An array of premium F&B joints as well as high end retail are in close vicinity to the building. The building is conveniently connected with the Delhi Metro line with the nearest stat...",Delhi,Connaught Place,https://img.cofynd.com/images/latest_images_2024/e461579a57a3a533ee4d45c289a5b1d8f86f7eec.webp,https://img.cofynd.com/images/latest_images_2024/8910b35ad7337c973e56931fe8f4f9980f7b795b.webp,45000.0
SAMS Coworking,"New Friends Colony, Delhi","Dedicated Desk - starting from
₹7,500
/Seat
Enquire","SAMS offers 15 co-sharing workspace seats in Bharat Nagar, New Friends Colony, at an affordable rate of INR 7,500/- per dedicated desk per month. The space is ideal for small teams, with contiguous seating options. The office is conveniently located near Sukhdev Vihar and Ashram metro stations and features secure, fully air-conditioned premises. The workspace includes ergonomically designed workstations, high-speed WIFI, and paid printing access. Separate restrooms for men and women are availabl...",Delhi,New Friends Colony,https://img.cofynd.com/images/latest_images_2024/58ca99cb8e4470438d5440cc25b2412a31db04e4.webp,https://img.cofynd.com/images/latest_images_2024/839496c5958acf0c649e67507e1cbfcd2281df7d.webp,7500.0
Cubicle Coworking,"Janakpuri, Delhi","Dedicated Desk - starting from
₹2,999
/Seat
Enquire | Private Cabin - starting from
₹9,999
/Seat
Enquire | Virtual Office - ₹11,999/ Year
Enquire","Cubicle Coworking offers plug-and-play workstations with separate cabins and all modern amenities. Choose from open and dedicated workstations or private cabins with seating options for two or eight people. Conveniently located just a two-minute walk from Janakpuri (East) and Tilak Nagar metro stations, our property is situated near banks, ATMs, hospitals, and food courts. Experience hassle-free coworking with us!",Delhi,Janakpuri,https://img.cofynd.com/images/latest_images_2024/1171aba06d5d4baea3432124aca9daaea963da58.webp,https://img.cofynd.com/images/latest_images_2024/13eef7dd55cf76683e9934ca2aab8fc7cc2d7d36.webp,2999.0
Workingrise,"Dwarka Mor, Delhi","Private Cabin - starting from
₹15,000
/Seat
Enquire | Dedicated Desk - starting from
₹5,000
/Seat
Enquire | Hot Desk - starting from
₹5,000
/Seat
Enquire | Office Space - starting from
₹200,000
/Seat
Enquire","At Workingrise, you get your own private workspace or can choose an open workstation. We provide tea and coffee, and you also get 50 black-and-white prints each month. Plus, you get one hour free in a meeting room every day. For those who need privacy, we offer personal boss cabins. The place is fully air-conditioned and has a peaceful environment. It's a comfortable workplace with a nice vibe and friendly atmosphere. With amenities like Wi-Fi and a coffee machine, it's perfect for gu...",Delhi,Dwarka Mor,https://img.cofynd.com/images/latest_images_2024/da166d215b0474c8762dbe80e0388150eb675eee.webp,https://img.cofynd.com/images/latest_images_2024/e9c15fa622443fbaa7ad0b563ba8b06efdefbeb1.webp,5000.0
4U Coworks,"Paschim Vihar New, Delhi","Dedicated Desk - starting from
₹9,000
/Seat
Enquire | Private Cabin - starting from
₹10,500
/Seat
Enquire","Welcome to our vibrant coworking space, where productivity meets comfort and community. Step into a dynamic environment designed to fuel creativity and collaboration, all while providing the amenities you need to thrive. Upon entering, you'll be greeted by the inviting aroma of freshly brewed coffee from our onsite cafeteria. Start your day with a delicious cup of java or grab a healthy snack to keep you energized throughout your work sessions. As you explore further, you'll discover a variety...",Delhi,Paschim Vihar,https://img.cofynd.com/images/latest_images_2024/b713f1a47a03cde1770cca13fbe60795c7eb0b51.webp,https://img.cofynd.com/images/latest_images_2024/d567f747b3d93b855fb9cc8992e1b846e6ca6632.webp,9000.0
Workvistar Zodiac Mall,"Vijay Nagar, Indore","Dedicated Desk - starting from
₹5,000
/Seat
Enquire",Are you looking for a modern workspace in Indore? Workvistar is a marvellously designed and well-managed coworking space. It offers open workstations located in a very convenient location in Indore. The interior is also very impressive to leave a long-lasting impact on the visitors and staff members. A safe and secure working environment is provided to all coworkers. It is a cost-effective workplace equipped with exclusive amenities making the day-to-day operations smooth. The overall ambienc...,Indore,Vijay Nagar,https://img.cofynd.com/images/original/23b80d614693142dc6d27fb9ea739f859db8f606.jpg,https://img.cofynd.com/images/original/a49863cb704c9ceae3621b8eeca709bdf877332f.jpg,5000.0
SPADIFY CO-WORK,"Scheme No 54 PU 4 Vijay Nagar, Indore","Hot Desk - starting from
₹3,000
/Seat
Enquire | Private Cabin - starting from
₹4,000
/Seat
Enquire | Office Space - starting from
₹20,000
/Seat
Enquire","The spadify co-work is a shared working environment where individuals, freelancers, entrepreneurs, and remote workers from various backgrounds come together to work independently or collaboratively. We aim to provide a flexible and productive alternative to traditional offices or working from home. Here at The Address, you'll find a diverse community of professionals from different industries. We provide an opportunity to connect and collaborate with like-minded professionals creating an enviro...",Indore,Vijay Nagar,https://img.cofynd.com/images/original/3d5c026bc421052fbe97c93091abd8d3a0b2d1af.jpg,https://img.cofynd.com/images/original/d6e074dfd8583ea6f1e23783ce992d8aae51a046.jpg,20000.0
The Dice,"1015 Skye Corporate park Scheme No. 78 AB Road, Indore","Hot Desk - starting from
₹4,999
/Seat
Enquire | Dedicated Desk - starting from
₹5,999
/Seat
Enquire | Private Cabin - starting from
₹24,999
/Seat
Enquire | Virtual Office - ₹12,999/ Year
Enquire | Office Space - starting from
₹89,000
/Seat
Enquire","The Dice is a Premium Coworking Space. We have provided fully furnished office space with all amenities. We provide open/hot desk, Dedicated desk, Manager cabin, a Meeting/Conference room, Virtual Office, high speed internet with a network booster, unlimited tea/coffee, and RO water. we provide stationery, printer, scanner, and copier facility at minimum charges. Personal locker facilities are also available in our space.
The Dice is not just an ordinary workspace in Indore, but a hom...",Indore,1015 Skye Corporate Park Scheme No. 78 Ab Road,https://img.cofynd.com/images/original/24fd3539a991b91614d9181fe9e5becacfd3e2f9.jpg,https://img.cofynd.com/images/original/13b08d83775f884234c0bf83438d99b879d91c6c.jpg,5999.0
Incuspaze Brilliant Platina,"Vijay Nagar Part- II, Indore","Hot Desk - starting from
₹5,499
/Seat
Enquire | Dedicated Desk - starting from
₹6,499
/Seat
Enquire","This vibrant workspace is located in Brilliant Platina - a state of the art commercial building. It offers Day Passes, Dedicated Desks, Private Cabins and Innovative Conference Rooms. It also offers Virtual Offices for GST registration, business registration and mailing address. The Space boasts of all the state of the art facilities required to grow your business. Join Incuspaze at Brilliant Platina and put your business into action.",Indore,Vijay Nagar,https://img.cofynd.com/images/original/e3968f9d719e9f59b3bf5e8037ac1df3329da2bd.jpg,https://img.cofynd.com/images/original/c177625b3ebd7cb710215421b77fa4290a5ed767.jpg,6499.0
Incuspaze Apollo Premier,"Vijay Nagar Square, Indore","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Virtual Office - ₹20,000/ Year
Enquire","Incuspaze Indore at Apollo Premier is a vibrant workspace ideal for freelancers, startups and small businesses. It offers Virtual Offices, Dedicated Desks and Private Cabins with all office amenities like High-Speed Wifi, Unlimited Tea/Coffee, Lounge area, Pantry and Meeting, Conference Rooms for team and client meetups. It is the first incubation cum coworking space with a support ecosystem of mentors and investors. So, what are you waiting for? Book an energized and vibrant workspace at Inc...",Indore,Vijay Nagar,https://img.cofynd.com/images/original/e85426ce071a8de598c3d0e7f16adb4aaf056d13.jpg,https://img.cofynd.com/images/original/b1702e02cba6a7e8244a54e0e6a58acba5004923.jpg,7000.0
